1 507
2 101
3 102
4 101
5 101
6 101
7 101
8 112
9 107
10 101
11 101
12 101
13 104
14 101
15 101
16 101
17 102
18 105
19 103
20 101
21 101
22 102
23 111
24 103
25 109
26 108
27 116
28 107
29 101
30 101
31 101
32 101
33 101
34 101
35 101
36 101
37 101
38 123
39 101
40 101
41 101
42 101
43 102
44 101
45 101
46 101
47 101
48 105
49 101
50 101
51 101
52 101
53 101
54 113
55 101
56 106
57 104
58 109
59 101
60 122
61 101
62 110
63 101
64 101
65 101
66 101
67 101
68 101
69 101
70 101
71 101
72 112
73 101
74 101
75 101
76 101
77 101
78 101
79 101
80 101
81 101
82 101
83 113
84 110
85 241
86 176
87 240
88 246
89 118
90 216
91 139
92 150
93 162
94 469
95 268
96 129
97 101
98 123
99 143
100 256
